seed,loc_dir,loc_models_used,stage2_dir,stage2_models_used,loc_glob,stage2_glob,loc_thresh,alpha_contrast,alpha_edge,clahe_clip,clahe_grid,canny_t1,canny_t2,edge_dilate,pipeline_acc_cal,pipeline_loc_precision_cal,pipeline_loc_recall_cal,pipeline_loc_f1_cal,pipeline_macroF1_damage_cal,pipeline_f1_no_damage_cal,pipeline_f1_minor_cal,pipeline_f1_major_cal,pipeline_f1_destroyed_cal
0,C:\Users\asmae mouradi\Documents\GitHub\xview2_1st_place_solution\new_approach\idabd_stage1_loc_ft_checkpoints,12,C:\Users\asmae mouradi\Documents\GitHub\xview2_1st_place_solution\new_approach\idabd_stage2_damage_ft_checkpoints_RGB_CONTRAST_EDGE_ONLY,12,*_idabd_ft_best.pth,*_idabd_stage2_ft_best.pth,0.5,0.65,0.35,2.0,8,50,150,1,0.87439489364624,0.7660557500146655,0.9531610682857897,0.849426912624401,0.4021210971532886,0.6725620036431517,0.4125707878176688,0.5233515971523338,0.0
0,C:\Users\asmae mouradi\Documents\GitHub\xview2_1st_place_solution\new_approach\idabd_stage1_loc_ft_checkpoints,12,C:\Users\asmae mouradi\Documents\GitHub\xview2_1st_place_solution\new_approach\idabd_stage2_damage_ft_checkpoints_RGB_CONTRAST_EDGE_ONLY,12,*_idabd_ft_best.pth,*_idabd_stage2_ft_best.pth,0.5,0.65,0.35,2.0,8,50,150,1,0.87439489364624,0.7660557500146655,0.9531610682857897,0.849426912624401,0.4021210971532886,0.6725620036431517,0.4125707878176688,0.5233515971523338,0.0
0,C:\Users\asmae mouradi\Documents\GitHub\xview2_1st_place_solution\new_approach\idabd_stage1_loc_ft_checkpoints,12,C:\Users\asmae mouradi\Documents\GitHub\xview2_1st_place_solution\new_approach\idabd_stage2_damage_ft_checkpoints_RGB_CONTRAST_EDGE_ONLY,12,*_idabd_ft_best.pth,*_idabd_stage2_ft_best.pth,0.5,0,0.45,0.1,2.0,8,80,200,0,0.8877711296081541,0.7660557500146655,0.9531610682857897,0.849426912624401,0.4690821401166004,0.7338318481999773,0.42360814065362945,0.5231670256962597,0.19572154591653518
