seed,loc_dir,loc_models_used,stage2_dir,stage2_models_used,loc_glob,stage2_glob,loc_thresh,alpha_unsharp,unsharp_sigma,unsharp_amount,alpha_edge,canny_t1,canny_t2,edge_dilate,pipeline_acc_cal,pipeline_loc_precision_cal,pipeline_loc_recall_cal,pipeline_loc_f1_cal,pipeline_macroF1_damage_cal,pipeline_f1_no_damage_cal,pipeline_f1_minor_cal,pipeline_f1_major_cal,pipeline_f1_destroyed_cal
0,C:\Users\asmae mouradi\Documents\GitHub\xview2_1st_place_solution\new_approach\idabd_stage1_loc_ft_checkpoints,12,C:\Users\asmae mouradi\Documents\GitHub\xview2_1st_place_solution\new_approach\idabd_stage2_damage_ft_checkpoints_RGB_UNSHARP_EDGE_ONLY,12,*_idabd_ft_best.pth,*_idabd_stage2_ft_best.pth,0.5,0.7,1.2,1.0,0.35,50,150,1,0.8700186014175413,0.7660557500146655,0.9531610682857897,0.849426912624401,0.39166484810532526,0.6591371741800479,0.3969614494048825,0.5105607688363707,0.0
0,C:\Users\asmae mouradi\Documents\GitHub\xview2_1st_place_solution\new_approach\idabd_stage1_loc_ft_checkpoints,12,C:\Users\asmae mouradi\Documents\GitHub\xview2_1st_place_solution\new_approach\idabd_stage2_damage_ft_checkpoints_RGB_UNSHARP_EDGE_ONLY,12,*_idabd_ft_best.pth,*_idabd_stage2_ft_best.pth,0.5,0.45,1.2,1.0,0.1,80,200,0,0.8789057731628416,0.7659960943705652,0.9531823576033576,0.8493986907627603,0.5271870667380576,0.7011056727108278,0.42619434268665696,0.5161731092398432,0.4652751423149022
